057/2001;1013- ELETROSUL
004/2004 ARTEMIS;1038 - ELETROSUL (ARTEMIS)
010/2005 SC ENERGI;1044 - ELETROSUL (SC ENERGIA)
005/2006 RS ENERGI;1053 - ELETROSUL (RS ENERGIA)
005/2009 MISSÕES;1067 - ELETROSUL (SE MISSÕES)
004/2008 P.MÉDICI;1069 - ELETROSUL (LT P.MEDICI-S. CRUZ 1)
002/2011 RS FOZ CH;1114 - ELETROSUL (RS ENERGIA F DO CHAP)
011/2010 RS SE IJU;1115 - ELETROSUL (RS ENERGIAIJUÍ2-CAX6)
012/2010 RS M.CLAR;1121 - ELETROSUL (RSENERGIA M.C-GARIB1)
004/2012 TSBE;1138 - ELETROSUL (TSBE)
008/2014 IVINHEMA;1167 - ELETROSUL (SE IVINHEMA2)
007/2014 FOTE;1174 - ELETROSUL (FOTE)
020/2012 TSLE ;1153 - ELETROSUL (TSLE)
